symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SPY,2026-07-28T04:00:00+00:00,739.165,742.755,736.01,740.795,1327039,18951,740.05171
SPY,2026-07-29T04:00:00+00:00,739.92,742.68,729.105,729.57,1907562,23276,734.650303
SPY,2026-07-30T04:00:00+00:00,736.025,742.45,734.625,741.63,1566682,22291,739.054563
SPY,2026-07-31T04:00:00+00:00,744.685,748.86,737.7,746.79,1909254,27327,744.097859
SPY,2026-08-03T04:00:00+00:00,749.49,758.58,749.21,757.72,1927439,31756,755.963446
SPY,2026-08-04T04:00:00+00:00,760.63,773.41,760.53,771.11,2274670,35127,769.232815
SPY,2026-08-05T04:00:00+00:00,775.91,776.81,769.53,769.79,1605060,24529,772.74203
SPY,2026-08-06T04:00:00+00:00,770.17,771.8,767.5,768.64,1090899,17830,769.212001
SPY,2026-08-07T04:00:00+00:00,771,773.885,769.62,773.16,1196627,18546,772.297819
SPY,2026-08-10T04:00:00+00:00,772.77,775.03,771.91,773.02,1205013,17732,773.294271
SPY,2026-08-11T04:00:00+00:00,774.515,774.53,769.415,770.52,1005691,16895,771.714228
SPY,2026-08-12T04:00:00+00:00,774.73,774.74,771.3,772.54,1033255,17367,772.646688
SPY,2026-08-13T04:00:00+00:00,774.72,779.37,774.19,777.84,1209788,17867,777.356158
SPY,2026-08-14T04:00:00+00:00,778.505,778.78,775.44,776.3,1249643,18201,776.613658
SPY,2026-08-17T04:00:00+00:00,776.26,776.74,772.51,772.62,1349886,18576,773.972465
SPY,2026-08-18T04:00:00+00:00,768.81,769.5,766.945,767.365,1441710,18470,768.038405
SPY,2026-08-19T04:00:00+00:00,770.36,772.465,768.18,769.09,1232803,18984,769.905026
SPY,2026-08-20T04:00:00+00:00,765.965,768.12,762.07,762.62,1503589,20744,764.717407
SPY,2026-08-21T04:00:00+00:00,765.99,767.84,764.185,765.64,1272336,17354,765.809229
SPY,2026-08-24T04:00:00+00:00,764.75,765.19,762.08,763.46,912839,14244,763.746786
SPY,2026-08-25T04:00:00+00:00,766.18,766.72,763.09,765.79,766153,13058,765.416805
